"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"35-39 years",15,885,16.9
,"40-44 years",".",927,"."
,"45-54 years",".",1963,"."
"Mayes","15-17 years",6,1783,3.4
,"18-19 years",40,930,43.0
,"20-24 years",161,2398,67.1
,"25-29 years",162,2542,63.7
,"30-34 years",72,2305,31.2
,"35-39 years",25,2450,10.2
,"40-44 years",".",2359,"."
"Murray","15-17 years",6,590,10.2
,"18-19 years",15,319,47.0
,"20-24 years",43,711,60.5
,"25-29 years",39,785,49.7
,"30-34 years",33,794,41.6
,"35-39 years",8,836,9.6
"Muskogee","10-14 years",".",4761,"."
,"15-17 years",16,2742,5.8
,"18-19 years",67,1922,34.9
,"20-24 years",292,4418,66.1
,"25-29 years",269,4569,58.9
,"30-34 years",157,4376,35.9
,"35-39 years",59,4378,13.5
,"40-44 years",10,3979,2.5
"Noble","15-17 years",5,474,10.5
,"18-19 years",9,248,36.3
,"20-24 years",30,575,52.2
,"25-29 years",41,644,63.7
,"30-34 years",35,659,53.1
,"35-39 years",8,629,12.7
,"40-44 years",".",605,"."
,"45-54 years",".",1515,"."
"Nowata","15-17 years",8,434,18.4
,"18-19 years",7,204,34.3
,"20-24 years",34,566,60.1
,"25-29 years",43,605,71.1
,"30-34 years",25,607,41.2
,"35-39 years",9,596,15.1
,"40-44 years",".",575,"."
"Okfuskee","15-17 years",6,499,12.0
,"18-19 years",12,289,41.5
,"20-24 years",50,679,73.6
,"25-29 years",48,754,63.7
,"30-34 years",23,769,29.9
,"35-39 years",7,746,9.4
,"40-44 years",".",760,"."
"Oklahoma","10-14 years",15,54263,0.3
,"15-17 years",212,30566,6.9
,"18-19 years",573,18868,30.4
,"20-24 years",2602,51941,50.1
,"25-29 years",3496,64214,54.4
,"30-34 years",3035,60362,50.3
,"35-39 years",1265,54285,23.3
,"40-44 years",265,46379,5.7
,"45-54 years",18,90653,0.2
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2700,"."
,"15-17 years",10,1611,6.2
,"18-19 years",31,1168,26.5
,"20-24 years",151,2530,59.7
,"25-29 years",146,2472,59.1
,"30-34 years",95,2135,44.5
,"35-39 years",31,2269,13.7
,"40-44 years",7,2073,3.4
"Osage","10-14 years",".",3146,"."
,"15-17 years",7,1978,3.5
,"18-19 years",27,1093,24.7
,"20-24 years",114,2516,45.3
,"25-29 years",147,2753,53.4
,"30-34 years",85,2687,31.6
,"35-39 years",38,2781,13.7
,"40-44 years",7,2653,2.6
,"45-54 years",".",6119,"."
"Ottawa","15-17 years",11,1325,8.3
,"18-19 years",37,1020,36.3
,"20-24 years",154,2030,75.9
,"25-29 years",129,1979,65.2
,"30-34 years",64,1667,38.4
,"35-39 years",26,1734,15.0
,"40-44 years",6,1762,3.4
"Pawnee","15-17 years",5,704,7.1
,"18-19 years",20,395,50.6
,"20-24 years",68,832,81.7
,"25-29 years",61,936,65.2
,"30-34 years",35,850,41.2
,"35-39 years",7,972,7.2
,"40-44 years",".",927,"."
,"45-54 years",".",2160,"."
"Payne","10-14 years",".",4421,"."
,"15-17 years",11,2544,4.3
,"18-19 years",33,5182,6.4
,"20-24 years",201,16698,12.0
,"25-29 years",250,6332,39.5
,"30-34 years",226,4912,46.0
,"35-39 years",96,4349,22.1
,"40-44 years",12,3745,3.2
,"45-54 years",".",6973,"."
"Pittsburg","15-17 years",11,1601,6.9
,"18-19 years",41,860,47.7
,"20-24 years",175,2460,71.1
,"25-29 years",161,3010,53.5
,"30-34 years",83,2815,29.5
,"35-39 years",35,2780,12.6
,"40-44 years",6,2487,2.4
,"45-54 years",".",5419,"."
"Pontotoc","15-17 years",11,1475,7.5
,"18-19 years",25,1258,19.9
,"20-24 years",156,2970,52.5
,"25-29 years",154,2939,52.4
,"30-34 years",106,2497,42.5
,"35-39 years",40,2303,17.4
,"40-44 years",".",2011,"."
"Pottawatomie","10-14 years",".",4756,"."
,"15-17 years",26,3078,8.4
,"18-19 years",59,2117,27.9
,"20-24 years",276,4819,57.3
,"25-29 years",258,4846,53.2
,"30-34 years",157,4476,35.1
,"35-39 years",75,4592,16.3
,"40-44 years",8,4373,1.8
"Pushmataha","10-14 years",".",689,"."
,"15-17 years",".",428,"."
,"18-19 years",9,226,39.8
,"20-24 years",35,549,63.8
,"25-29 years",36,626,57.5
,"30-34 years",23,612,37.6
,"35-39 years",7,622,11.3
,"40-44 years",".",538,"."
"Roger Mills","15-17 years",".",146,"."
,"18-19 years",".",62,"."
,"20-24 years",10,178,56.2
,"25-29 years",17,173,98.3
,"30-34 years",8,199,40.2
,"35-39 years",5,233,21.5
,"40-44 years",".",184,"."
"Rogers","15-17 years",15,4144,3.6
,"18-19 years",49,2288,21.4
,"20-24 years",291,5794,50.2
,"25-29 years",335,5795,57.8
,"30-34 years",215,5494,39.1
,"35-39 years",74,5540,13.4
,"40-44 years",14,5402,2.6
"Seminole","15-17 years",13,1150,11.3
,"18-19 years",24,740,32.4
,"20-24 years",100,1465,68.3
,"25-29 years",92,1403,65.6
,"30-34 years",55,1363,40.4
,"35-39 years",25,1485,16.8
,"40-44 years",5,1406,3.6
"Sequoyah","15-17 years",9,1777,5.1
,"18-19 years",54,970,55.7
,"20-24 years",174,2480,70.2
,"25-29 years",156,2549,61.2
,"30-34 years",78,2287,34.1
,"35-39 years",32,2366,13.5
,"40-44 years",".",2544,"."
,"45-54 years",".",5528,"."
"Stephens","15-17 years",12,1774,6.8
,"18-19 years",27,950,28.4
,"20-24 years",141,2274,62.0
,"25-29 years",153,2555,59.9
,"30-34 years",102,2551,40.0
,"35-39 years",33,2628,12.6
,"40-44 years",8,2430,3.3
"Texas","15-17 years",10,993,10.1
,"18-19 years",29,706,41.1
,"20-24 years",85,1574,54.0
,"25-29 years",120,1601,75.0
,"30-34 years",80,1462,54.7
,"35-39 years",43,1427,30.1
,"40-44 years",8,1258,6.4
"Tillman","10-14 years",".",528,"."
,"15-17 years",".",289,"."
,"18-19 years",7,179,39.1
,"20-24 years",21,390,53.8
,"25-29 years",21,415,50.6
,"30-34 years",16,403,39.7
,"35-39 years",6,439,13.7
,"Unknown Age",".",".","."
"Tulsa","10-14 years",5,44748,0.1
,"15-17 years",155,26510,5.8
,"18-19 years",394,15768,25.0
,"20-24 years",2118,41527,51.0
,"25-29 years",2844,49412,57.6
,"30-34 years",2420,46231,52.3
,"35-39 years",991,43490,22.8
,"40-44 years",168,39138,4.3
,"45-54 years",12,78311,0.2
,"Unknown Age",".",".","."
"Wagoner","15-17 years",8,3422,2.3
,"18-19 years",49,1742,28.1
,"20-24 years",192,4135,46.4
,"25-29 years",262,4923,53.2
,"30-34 years",237,5233,45.3
,"35-39 years",80,5351,15.0
,"40-44 years",16,4858,3.3
,"45-54 years",".",10337,"."
"Washington","15-17 years",6,2052,2.9
,"18-19 years",36,1153,31.2
,"20-24 years",164,2909,56.4
,"25-29 years",201,3234,62.2
,"30-34 years",151,3357,45.0
,"35-39 years",50,3076,16.3
,"40-44 years",5,2759,1.8
"Washita","10-14 years",".",825,"."
,"15-17 years",".",468,"."
,"18-19 years",6,254,23.6
,"20-24 years",40,542,73.8
,"25-29 years",50,665,75.2
,"30-34 years",20,696,28.7
,"35-39 years",11,717,15.3
"Woods","15-17 years",".",299,"."
,"18-19 years",".",413,"."
,"20-24 years",34,1104,30.8
,"25-29 years",30,722,41.6
,"30-34 years",21,603,34.8
,"35-39 years",7,534,13.1
"Woodward","10-14 years",".",1376,"."
,"15-17 years",".",863,"."
,"18-19 years",11,504,21.8
,"20-24 years",82,1249,65.7
,"25-29 years",87,1445,60.2
,"30-34 years",50,1414,35.4
,"35-39 years",15,1427,10.5
,"40-44 years",5,1276,3.9

Year 2018
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",10,".","."
,"20-24 years",39,".","."
,"25-29 years",37,".","."
,"30-34 years",23,".","."
,"35-39 years",14,".","."
,"40-44 years",".",".","."
"Adair","15-17 years",".",998,"."
,"18-19 years",28,524,53.4
,"20-24 years",112,1311,85.4
,"25-29 years",99,1446,68.5
,"30-34 years",38,1220,31.1
,"35-39 years",22,1309,16.8
,"40-44 years",".",1317,"."
"Alfalfa","15-17 years",".",181,"."
,"20-24 years",12,238,50.4
,"25-29 years",18,289,62.3
,"30-34 years",11,317,34.7
,"35-39 years",7,461,15.2
,"40-44 years",".",428,"."
"Atoka","10-14 years",".",881,"."
,"15-17 years",".",512,"."
,"18-19 years",16,291,55.0
,"20-24 years",50,752,66.5
,"25-29 years",52,952,54.6
,"30-34 years",31,877,35.3
,"35-39 years",7,849,8.2
,"40-44 years",".",780,"."
,"Unknown Age",".",".","."
"Beaver","18-19 years",".",145,"."
,"20-24 years",11,233,47.2
,"25-29 years",18,289,62.3
,"30-34 years",16,269,59.5
,"35-39 years",".",316,"."
,"40-44 years",".",270,"."
"Beckham","15-17 years",".",797,"."
,"18-19 years",18,466,38.6
,"20-24 years",95,1426,66.6
,"25-29 years",109,1744,62.5
,"30-34 years",58,1650,35.2
,"35-39 years",16,1546,10.3
,"40-44 years",".",1294,"."
"Blaine","15-17 years",".",372,"."
,"18-19 years",7,224,31.3
,"20-24 years",50,468,106.8
,"25-29 years",33,496,66.5
,"30-34 years",26,486,53.5
,"35-39 years",12,507,23.7
,"40-44 years",".",489,"."
"Bryan","15-17 years",13,1842,7.1
,"18-19 years",45,1380,32.6
,"20-24 years",180,3076,58.5
,"25-29 years",214,3552,60.2
,"30-34 years",102,3139,32.5
,"35-39 years",33,2901,11.4
,"40-44 years",5,2538,2.0
,"Unknown Age",".",".","."
"Caddo","10-14 years",".",1956,"."
,"15-17 years",9,1264,7.1
,"18-19 years",25,692,36.1
,"20-24 years",120,1693,70.9
,"25-29 years",126,2032,62.0
,"30-34 years",76,1854,41.0
,"35-39 years",29,1834,15.8
,"40-44 years",5,1565,3.2
"Canadian","15-17 years",14,6196,2.3
,"18-19 years",49,3164,15.5
,"20-24 years",390,7822,49.9
,"25-29 years",657,10011,65.6
,"30-34 years",528,11269,46.9
,"35-39 years",184,11319,16.3
,"40-44 years",42,9673,4.3
"Carter","10-14 years",".",3466,"."
,"15-17 years",10,2069,4.8
,"18-19 years",56,1126,49.7
,"20-24 years",223,2778,80.3
,"25-29 years",187,3207,58.3
,"30-34 years",131,2907,45.1
,"35-39 years",38,3028,12.5
,"40-44 years",8,2858,2.8
"Cherokee","15-17 years",14,1800,7.8
,"18-19 years",36,1921,18.7
,"20-24 years",175,5374,32.6
,"25-29 years",206,3197,64.4
,"30-34 years",102,2754,37.0
,"35-39 years",46,2961,15.5
,"40-44 years",11,2518,4.4
,"Unknown Age",".",".","."
"Choctaw","10-14 years",".",1017,"."
,"15-17 years",7,606,11.6
,"18-19 years",21,299,70.2
,"20-24 years",69,762,90.6
,"25-29 years",57,878,64.9
,"30-34 years",23,717,32.1
,"35-39 years",19,800,23.8
,"40-44 years",".",778,"."
,"Unknown Age",".",".","."
"Cimarron","18-19 years",".",47,"."
,"20-24 years",10,94,106.4
,"25-29 years",6,98,61.2
,"30-34 years",7,116,60.3
,"35-39 years",".",108,"."
"Cleveland","10-14 years",".",17975,"."
,"15-17 years",29,10658,2.7
,"18-19 years",113,10307,11.0
,"20-24 years",563,30443,18.5
,"25-29 years",927,21938,42.3
,"30-34 years",801,19789,40.5
,"35-39 years",341,20298,16.8
,"40-44 years",56,16705,3.4
,"45-54 years",".",31742,"."
"Coal","15-17 years",".",224,"."
,"18-19 years",7,111,63.1
,"20-24 years",24,305,78.7
,"25-29 years",27,361,74.8
,"30-34 years",14,258,54.3
,"35-39 years",".",274,"."
,"40-44 years",".",341,"."
"Comanche","10-14 years",".",7712,"."
,"15-17 years",30,4267,7.0
,"18-19 years",98,4264,23.0
,"20-24 years",550,10869,50.6
,"25-29 years",523,10560,49.5
,"30-34 years",338,9293,36.4
,"35-39 years",122,8269,14.8
,"40-44 years",14,6588,2.1
,"45-54 years",".",13094,"."
,"Unknown Age",".",".","."
"Cotton","15-17 years",".",224,"."
,"18-19 years",".",114,"."
,"20-24 years",20,297,67.3
,"25-29 years",12,361,33.2
,"30-34 years",16,294,54.4
,"35-39 years",".",335,"."
"Craig","15-17 years",".",574,"."
,"18-19 years",11,323,34.1
,"20-24 years",56,815,68.7
,"25-29 years",37,913,40.5
,"30-34 years",25,813,30.8
,"35-39 years",6,811,7.4
,"40-44 years",".",832,"."
"Creek","15-17 years",12,3099,3.9
,"18-19 years",41,1571,26.1
,"20-24 years",256,4009,63.9
,"25-29 years",260,4411,58.9
,"30-34 years",161,4166,38.6
,"35-39 years",47,4518,10.4
,"40-44 years",13,4075,3.2
"Custer","15-17 years",5,1174,4.3
,"18-19 years",23,1213,19.0
,"20-24 years",101,3620,27.9
,"25-29 years",139,1941,71.6
,"30-34 years",88,1775,49.6
,"35-39 years",35,1870,18.7
,"40-44 years",8,1368,5.8
,"45-54 years",".",2784,"."
"Delaware","15-17 years",5,1580,3.2
,"18-19 years",32,899,35.6
,"20-24 years",140,2191,63.9
,"25-29 years",123,2286,53.8
,"30-34 years",78,2080,37.5
,"35-39 years",27,2166,12.5
,"40-44 years",9,2113,4.3
"Dewey","18-19 years",".",117,"."
,"20-24 years",21,230,91.3
,"25-29 years",20,300,66.7
,"30-34 years",10,275,36.4
,"35-39 years",5,296,16.9
,"40-44 years",".",271,"."
"Ellis","18-19 years",".",78,"."
,"20-24 years",16,186,86.0
,"25-29 years",20,192,104.2
,"30-34 years",9,192,46.9
,"35-39 years",".",247,"."
,"40-44 years",".",243,"."
"Garfield","15-17 years",19,2372,8.0
,"18-19 years",57,1369,41.6
,"20-24 years",216,3884,55.6
,"25-29 years",268,4384,61.1
,"30-34 years",190,4178,45.5
,"35-39 years",85,4169,20.4
,"40-44 years",13,3253,4.0
,"45-54 years",".",6334,"."
"Garvin","15-17 years",5,1126,4.4
,"18-19 years",25,699,35.8
,"20-24 years",111,1517,73.2
,"25-29 years",99,1677,59.0
,"30-34 years",67,1633,41.0
,"35-39 years",22,1839,12.0
,"45-54 years",".",3252,"."
"Grady","10-14 years",".",4088,"."
,"15-17 years",11,2405,4.6
,"18-19 years",31,1322,23.4
,"20-24 years",147,3038,48.4
,"25-29 years",184,3344,55.0
,"30-34 years",126,3237,38.9
,"35-39 years",60,3931,15.3
,"40-44 years",5,3323,1.5
"Grant","18-19 years",".",86,"."
,"20-24 years",12,205,58.5
,"25-29 years",18,238,75.6
,"30-34 years",12,238,50.4
,"35-39 years",".",241,"."
,"40-44 years",".",208,"."
"Greer","10-14 years",".",305,"."
,"15-17 years",".",239,"."
,"18-19 years",".",110,"."
,"20-24 years",15,357,42.0
,"25-29 years",18,466,38.6
,"30-34 years",8,459,17.4
,"35-39 years",".",414,"."
"Harmon","18-19 years",".",54,"."
,"20-24 years",9,135,66.7
,"25-29 years",8,141,56.7
,"30-34 years",5,152,32.9
,"35-39 years",".",162,"."
,"Unknown Age",".",".","."
"Harper","15-17 years",".",164,"."
,"18-19 years",".",83,"."
,"20-24 years",9,175,51.4
,"25-29 years",13,187,69.5
,"30-34 years",13,218,59.6
,"35-39 years",".",242,"."
"Haskell","15-17 years",".",533,"."
,"18-19 years",9,288,31.3
,"20-24 years",43,668,64.4
,"25-29 years",42,764,55.0
,"30-34 years",19,674,28.2
,"35-39 years",6,812,7.4
,"40-44 years",".",713,"."
"Hughes","10-14 years",".",794,"."
,"15-17 years",5,506,9.9
,"18-19 years",14,282,49.6
,"20-24 years",53,865,61.3
,"25-29 years",53,959,55.3
,"30-34 years",21,874,24.0
,"35-39 years",6,902,6.7
,"40-44 years",".",779,"."
"Jackson","15-17 years",15,970,15.5
,"18-19 years",19,620,30.6
,"20-24 years",106,1962,54.0
,"25-29 years",113,1856,60.9
,"30-34 years",96,1897,50.6
,"35-39 years",25,1625,15.4
,"40-44 years",".",1334,"."
"Jefferson","18-19 years",5,132,37.9
,"20-24 years",25,288,86.8
,"25-29 years",21,355,59.2
,"30-34 years",10,348,28.7
,"35-39 years",".",321,"."
"Johnston","15-17 years",".",432,"."
,"18-19 years",".",339,"."
,"20-24 years",45,648,69.4
,"25-29 years",43,664,64.8
,"30-34 years",27,617,43.8
,"35-39 years",6,608,9.9
,"40-44 years",".",655,"."
,"Unknown Age",".",".","."
"Kay","15-17 years",11,1792,6.1
,"18-19 years",43,1162,37.0
,"20-24 years",184,2513,73.2
,"25-29 years",164,2849,57.6
,"30-34 years",98,2500,39.2
,"35-39 years",30,2614,11.5
,"40-44 years",9,2461,3.7
"Kingfisher","15-17 years",".",760,"."
,"18-19 years",12,408,29.4
,"20-24 years",39,857,45.5
,"25-29 years",67,897,74.7
,"30-34 years",51,964,52.9
,"35-39 years",21,1040,20.2
"Kiowa","10-14 years",".",579,"."
,"15-17 years",".",352,"."
,"18-19 years",8,206,38.8
,"20-24 years",27,470,57.4
,"25-29 years",48,503,95.4
,"30-34 years",20,457,43.8
,"35-39 years",8,494,16.2
"Latimer","15-17 years",".",407,"."
,"18-19 years",9,345,26.1
,"20-24 years",41,657,62.4
,"25-29 years",44,626,70.3
,"30-34 years",21,505,41.6
,"35-39 years",11,586,18.8
,"40-44 years",".",461,"."
"Le Flore","10-14 years",".",3533,"."
,"15-17 years",12,2169,5.5
,"18-19 years",43,1252,34.3
,"20-24 years",208,2871,72.4
,"25-29 years",187,3250,57.5
,"30-34 years",104,2870,36.2
,"35-39 years",49,3074,15.9
,"40-44 years",6,2881,2.1
,"45-54 years",".",6165,"."
"Lincoln","15-17 years",9,1491,6.0
,"18-19 years",25,795,31.4
,"20-24 years",108,1822,59.3
,"25-29 years",129,2089,61.8
,"30-34 years",61,1891,32.3
,"35-39 years",26,2070,12.6
,"40-44 years",".",1925,"."
,"Unknown Age",".",".","."
"Logan","15-17 years",5,1970,2.5
,"18-19 years",22,1876,11.7
,"20-24 years",102,3074,33.2
,"25-29 years",152,2496,60.9
,"30-34 years",138,2795,49.4
,"35-39 years",68,3185,21.4
,"40-44 years",14,2925,4.8
,"Unknown Age",".",".","."
"Love","15-17 years",".",405,"."
,"18-19 years",5,241,20.7
,"20-24 years",41,599,68.4
,"25-29 years",40,678,59.0
,"30-34 years",27,599,45.1
,"35-39 years",10,605,16.5
,"40-44 years",".",534,"."
"McClain","15-17 years",7,1844,3.8
,"18-19 years",23,871,26.4
,"20-24 years",91,2157,42.2
,"25-29 years",144,2191,65.7
,"30-34 years",113,2463,45.9
,"35-39 years",39,2825,13.8
,"40-44 years",5,2669,1.9
"McCurtain","10-14 years",".",2293,"."
,"15-17 years",8,1321,6.1
,"18-19 years",32,782,40.9
,"20-24 years",141,1941,72.6
,"25-29 years",144,2173,66.3
,"30-34 years",74,1808,40.9
,"35-39 years",31,1863,16.6
,"40-44 years",6,1789,3.4
,"Unknown Age",".",".","."
"McIntosh","15-17 years",7,743,9.4
,"18-19 years",13,374,34.8
,"20-24 years",68,984,69.1
,"25-29 years",47,988,47.6
,"30-34 years",31,938,33.0
,"35-39 years",16,1042,15.4
,"40-44 years",".",986,"."
"Major","10-14 years",".",559,"."
,"18-19 years",".",165,"."
,"20-24 years",25,345,72.5
,"25-29 years",45,394,114.2
,"30-34 years",26,405,64.2
,"35-39 years",7,490,14.3
,"40-44 years",".",390,"."
"Marshall","15-17 years",6,673,8.9
,"18-19 years",16,377,42.4
,"20-24 years",70,921,76.0
,"25-29 years",59,890,66.3
,"30-34 years",31,812,38.2
,"35-39 years",11,930,11.8
,"40-44 years",5,964,5.2
,"45-54 years",".",1991,"."
"Mayes","15-17 years",10,1710,5.8
,"18-19 years",39,982,39.7
,"20-24 years",141,2358,59.8
,"25-29 years",175,2613,67.0
,"30-34 years",77,2292,33.6
,"35-39 years",29,2504,11.6
,"40-44 years",5,2412,2.1
"Murray","15-17 years",".",571,"."
,"18-19 years",16,328,48.8
,"20-24 years",53,718,73.8
,"25-29 years",50,788,63.5
,"30-34 years",30,793,37.8
,"35-39 years",8,876,9.1
,"40-44 years",".",725,"."
"Muskogee","10-14 years",".",4748,"."
,"15-17 years",15,2755,5.4
,"18-19 years",60,1857,32.3
,"20-24 years",251,4326,58.0
,"25-29 years",263,4519,58.2
,"30-34 years",152,4288,35.4
,"35-39 years",65,4393,14.8
,"40-44 years",16,3991,4.0
"Noble","15-17 years",".",483,"."
,"18-19 years",8,242,33.1
,"20-24 years",32,576,55.6
,"25-29 years",29,657,44.1
,"30-34 years",30,668,44.9
,"35-39 years",16,669,23.9
,"40-44 years",".",615,"."
"Nowata","18-19 years",15,209,71.8
,"20-24 years",39,536,72.8
,"25-29 years",50,631,79.2
,"30-34 years",27,598,45.2
,"35-39 years",9,602,15.0
,"Unknown Age",".",".","."
"Okfuskee","15-17 years",".",434,"."
,"18-19 years",12,283,42.4
,"20-24 years",47,704,66.8
,"25-29 years",51,807,63.2
,"30-34 years",23,754,30.5
,"35-39 years",14,779,18.0
,"40-44 years",".",733,"."
"Oklahoma","10-14 years",8,55075,0.1
,"15-17 years",192,31006,6.2
,"18-19 years",540,19146,28.2
,"20-24 years",2488,52298,47.6
,"25-29 years",3400,63770,53.3
,"30-34 years",3000,59717,50.2
,"35-39 years",1314,55544,23.7
,"40-44 years",247,46895,5.3
,"45-54 years",13,89629,0.1
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2596,"."
,"15-17 years",13,1596,8.1
,"18-19 years",22,1137,19.3
,"20-24 years",139,2472,56.2
,"25-29 years",131,2435,53.8
,"30-34 years",66,2150,30.7
,"35-39 years",32,2249,14.2
,"40-44 years",".",2018,"."
"Osage","15-17 years",7,1928,3.6
,"18-19 years",19,1050,18.1
,"20-24 years",112,2475,45.3
,"25-29 years",155,2761,56.1
,"30-34 years",110,2669,41.2
,"35-39 years",29,2797,10.4
,"40-44 years",8,2609,3.1
"Ottawa","15-17 years",12,1297,9.3
,"18-19 years",34,1018,33.4
,"20-24 years",119,2045,58.2
,"25-29 years",128,2049,62.5
,"30-34 years",79,1667,47.4
,"35-39 years",27,1768,15.3
,"40-44 years",".",1686,"."
"Pawnee","15-17 years",6,690,8.7
,"18-19 years",14,383,36.6
,"20-24 years",57,848,67.2
,"25-29 years",58,919,63.1
,"30-34 years",33,879,37.5
,"35-39 years",15,941,15.9
,"40-44 years",".",951,"."
,"45-54 years",".",2121,"."
"Payne","15-17 years",14,2584,5.4
,"18-19 years",36,5251,6.9
,"20-24 years",202,16610,12.2
,"25-29 years",278,6328,43.9
,"30-34 years",207,4729,43.8
,"35-39 years",90,4647,19.4
,"40-44 years",20,3818,5.2
,"45-54 years",".",6867,"."
"Pittsburg","10-14 years",".",2839,"."
,"15-17 years",8,1602,5.0
,"18-19 years",38,878,43.3
,"20-24 years",198,2422,81.8
,"25-29 years",158,2982,53.0
,"30-34 years",92,2780,33.1
,"35-39 years",36,2805,12.8
,"40-44 years",7,2499,2.8
,"Unknown Age",".",".","."
"Pontotoc","15-17 years",9,1488,6.0
,"18-19 years",37,1265,29.2
,"20-24 years",156,2884,54.1
,"25-29 years",152,2852,53.3
,"30-34 years",106,2553,41.5
,"35-39 years",41,2302,17.8
,"40-44 years",6,2085,2.9
"Pottawatomie","15-17 years",11,3000,3.7
,"18-19 years",62,2189,28.3
,"20-24 years",242,4814,50.3
,"25-29 years",296,4836,61.2
,"30-34 years",172,4504,38.2
,"35-39 years",72,4659,15.5
,"40-44 years",14,4422,3.2
,"45-54 years",".",8911,"."
"Pushmataha","15-17 years",".",417,"."
,"18-19 years",".",238,"."
,"20-24 years",42,549,76.5
,"25-29 years",34,617,55.1
,"30-34 years",18,633,28.4
,"35-39 years",5,636,7.9
"Roger Mills","15-17 years",".",156,"."
,"18-19 years",".",76,"."
,"20-24 years",13,177,73.4
,"25-29 years",15,167,89.8
,"30-34 years",5,180,27.8
,"35-39 years",".",248,"."
"Rogers","15-17 years",6,3994,1.5
,"18-19 years",40,2331,17.2
,"20-24 years",272,5667,48.0
,"25-29 years",347,5928,58.5
,"30-34 years",274,5556,49.3
,"35-39 years",99,5801,17.1
,"40-44 years",19,5370,3.5
,"45-54 years",".",12182,"."
"Seminole","15-17 years",9,1095,8.2
,"18-19 years",26,749,34.7
,"20-24 years",114,1495,76.3
,"25-29 years",94,1423,66.1
,"30-34 years",48,1301,36.9
,"35-39 years",17,1471,11.6
,"40-44 years",".",1381,"."
"Sequoyah","15-17 years",17,1710,9.9
,"18-19 years",46,979,47.0
,"20-24 years",198,2418,81.9
,"25-29 years",156,2559,61.0
,"30-34 years",85,2282,37.2
,"35-39 years",40,2349,17.0
,"40-44 years",8,2453,3.3
"Stephens","15-17 years",18,1818,9.9
,"18-19 years",28,952,29.4
,"20-24 years",180,2300,78.3
,"25-29 years",172,2555,67.3
,"30-34 years",99,2479,39.9
,"35-39 years",25,2641,9.5
,"40-44 years",".",2441,"."
"Texas","15-17 years",9,934,9.6
,"18-19 years",19,707,26.9
,"20-24 years",111,1563,71.0
,"25-29 years",112,1458,76.8
,"30-34 years",61,1426,42.8
,"35-39 years",34,1366,24.9
,"40-44 years",11,1252,8.8
,"45-54 years",".",2389,"."
"Tillman","15-17 years",".",282,"."
,"18-19 years",9,180,50.0
,"20-24 years",20,398,50.3
,"25-29 years",32,414,77.3
,"30-34 years",13,402,32.3
,"35-39 years",".",430,"."
,"40-44 years",".",385,"."
"Tulsa","10-14 years",".",45417,"."
,"15-17 years",116,26387,4.4
,"18-19 years",384,15872,24.2
,"20-24 years",1962,41251,47.6
,"25-29 years",2798,49156,56.9
,"30-34 years",2381,45847,51.9
,"35-39 years",1043,44331,23.5
,"40-44 years",175,39278,4.5
,"45-54 years",10,76971,0.1
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",5731,"."
,"15-17 years",11,3453,3.2
,"18-19 years",31,1739,17.8
,"20-24 years",214,4259,50.2
,"25-29 years",294,5034,58.4
,"30-34 years",223,5324,41.9
,"35-39 years",98,5483,17.9
,"40-44 years",16,4957,3.2
"Washington","10-14 years",".",3515,"."
,"15-17 years",5,2066,2.4
,"18-19 years",23,1160,19.8
,"20-24 years",152,2812,54.1
,"25-29 years",191,3237,59.0
,"30-34 years",148,3240,45.7
,"35-39 years",67,3283,20.4
,"40-44 years",5,2722,1.8
"Washita","15-17 years",".",480,"."
,"18-19 years",".",263,"."
,"20-24 years",40,502,79.7
,"25-29 years",45,663,67.9
,"30-34 years",27,666,40.5
,"35-39 years",6,730,8.2
,"40-44 years",".",587,"."
"Woods","18-19 years",".",430,"."
,"20-24 years",30,1040,28.8
,"25-29 years",33,724,45.6
,"30-34 years",20,596,33.6
,"35-39 years",11,518,21.2
,"40-44 years",".",401,"."
,"45-54 years",".",846,"."
"Woodward","15-17 years",".",826,"."
,"18-19 years",17,473,35.9
,"20-24 years",81,1228,66.0
,"25-29 years",88,1454,60.5
,"30-34 years",48,1354,35.5
,"35-39 years",18,1481,12.2
,"40-44 years",".",1282,"."

Year 2019
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",".",".","."
,"20-24 years",10,".","."
,"25-29 years",13,".","."
,"30-34 years",11,".","."
,"35-39 years",".",".","."
,"40-44 years",".",".","."
"Adair","10-14 years",".",1695,"."
,"15-17 years",8,1013,7.9
,"18-19 years",37,526,70.3
,"20-24 years",104,1283,81.1
,"25-29 years",75,1467,51.1
,"30-34 years",39,1199,32.5
,"35-39 years",17,1344,12.6
,"40-44 years",".",1296,"."
"Alfalfa","15-17 years",".",181,"."
,"18-19 years",".",86,"."
,"20-24 years",10,231,43.3
,"25-29 years",25,288,86.8
,"30-34 years",9,325,27.7
,"35-39 years",7,459,15.3
"Atoka","15-17 years",".",516,"."
,"18-19 years",20,289,69.2
