"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"40-44 years",9,2389,3.8
,"45-54 years",".",5658,"."
"Osage","15-17 years",16,2036,7.9
,"18-19 years",46,1164,39.5
,"20-24 years",154,2317,66.5
,"25-29 years",157,2586,60.7
,"30-34 years",79,2665,29.6
,"35-39 years",31,2630,11.8
,"40-44 years",".",3005,"."
"Ottawa","10-14 years",".",2252,"."
,"15-17 years",22,1307,16.8
,"18-19 years",57,1147,49.7
,"20-24 years",182,1973,92.2
,"25-29 years",126,1791,70.4
,"30-34 years",60,1790,33.5
,"35-39 years",26,1827,14.2
,"40-44 years",".",1860,"."
"Pawnee","15-17 years",11,732,15.0
,"18-19 years",19,417,45.6
,"20-24 years",89,806,110.4
,"25-29 years",58,858,67.6
,"30-34 years",30,856,35.0
,"35-39 years",15,992,15.1
,"40-44 years",".",1076,"."
"Payne","10-14 years",".",3781,"."
,"15-17 years",13,2222,5.9
,"18-19 years",59,5393,10.9
,"20-24 years",261,15465,16.9
,"25-29 years",287,6624,43.3
,"30-34 years",195,4597,42.4
,"35-39 years",60,3787,15.8
,"40-44 years",7,3534,2.0
,"45-54 years",".",8304,"."
"Pittsburg","10-14 years",".",2736,"."
,"15-17 years",25,1742,14.4
,"18-19 years",67,1072,62.5
,"20-24 years",185,2614,70.8
,"25-29 years",157,2984,52.6
,"30-34 years",74,2788,26.5
,"35-39 years",21,2664,7.9
,"40-44 years",12,2762,4.3
"Pontotoc","10-14 years",".",2325,"."
,"15-17 years",17,1415,12.0
,"18-19 years",53,1388,38.2
,"20-24 years",212,3471,61.1
,"25-29 years",175,2628,66.6
,"30-34 years",67,2234,30.0
,"35-39 years",27,2053,13.2
,"40-44 years",6,2096,2.9
"Pottawatomie","10-14 years",".",4914,"."
,"15-17 years",38,2908,13.1
,"18-19 years",114,2250,50.7
,"20-24 years",330,4858,67.9
,"25-29 years",292,4375,66.7
,"30-34 years",177,4258,41.6
,"35-39 years",52,4348,12.0
,"40-44 years",11,4167,2.6
"Pushmataha","10-14 years",".",718,"."
,"15-17 years",7,457,15.3
,"18-19 years",11,304,36.2
,"20-24 years",52,574,90.6
